"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",
"2000","0.6674523762178213","0.9828521131672705","0.6195326796597024","0.6514695120544446","0.7369354309295889","0.8147625283434716","0.6323056217609835","0.6063060361566882","0.7138632148087274","1.1422722884846361","0.9595346233872363","1.0773663185888815","1.0821021812701268","0.9899117681992183","7.214281297500907","1.4173606571386397",
"4000","0.6803475124662733","0.3688144940167618","0.37747700445045484","0.42419635223044877","0.6989095622977172","0.5606816288134376","0.5696630088871322","0.4752174844949032","0.694974020297801","0.9585161614860414","1.248569419813363","1.4030336074550656","1.1381554701243968","0.7890044418080047","6.971157388459537","1.3376522028110103",
"6000","0.8172761143306734","0.4732123257055499","0.4090052112815937","0.46627115563523774","0.47181399496930354","0.421390156374928","0.499600529880677","0.6138313195731298","0.4747033728102487","0.8961246322397076","0.9269993416253032","0.9356976114691989","1.3020567999786268","0.9324252432463602","6.781542111915632","1.2775029507367295",
"8000","0.8654231313109136","0.4916539866933124","0.43132845971587924","0.48157669800209807","0.5801514428482422","0.6271919334178652","0.5615773738291974","0.7815158481892652","0.666703053684763","1.2547642540865334","1.1547934148942065","1.096904840822128","1.3020744503192168","1.3410539660021008","1.2635704054351404","0.8650844801019724",
"10000","0.927956427470662","0.6418606248741706","0.49839155251173023","0.5584379247765904","0.5831148959696987","0.6086091159507757","0.5413762028829627","0.6005168701604596","0.8377271888038778","0.98464803039045","1.076240490687321","1.0541800627555478","2.6536744213451624","0.8468167067930124","1.508710703286373","1.8214606902843322",
"12000","0.8832281288585694","0.5872434986827767","0.5992765915742477","0.6283862589473004","0.6068790752761573","0.5592347132659856","2.1660632340555126","0.6076974405564287","0.9226007728987686","1.0546840842960206","1.2032656894669755","0.9963420600969245","1.0877210256261483","1.013431770217957","1.1985891351780908","2.4432272467964693",
"14000","0.857228419417248","0.5606045901200414","0.5791900158012969","0.6533365187422221","0.5575730229801167","0.6547025657376424","0.607650166217744","0.6768804867443353","0.8098467550924039","1.6818889259080725","1.0650732017197442","1.1618022829513948","1.0765794300354814","0.9353137632256909","0.8924722689997937","1.0470982873286685",
"16000","1.0837442410484799","0.662258720623767","0.6447587729710874","0.7005722616715672","0.6008707652480134","0.5438222160783553","0.6203528756432695","0.627045346151634","0.7175199074458871","0.9923117264660563","1.1466825111532215","1.0333507858398365","1.2692120259854376","1.071108664844341","0.9789775341409901","1.607480359267096",
"18000","0.6891451223891278","0.629532687609424","0.5821830356889083","0.47316982878411523","0.6121483917710079","0.640561374020331","0.762538586719856","0.6437376495497675","0.7119451124549702","1.0067568336166877","1.066113820631104","0.9644559279722751","1.2520434317368834","1.660648523650838","0.854516365497241","1.0986110684881398",
"20000","0.947856257670645","0.6537760734884804","0.6096513807826601","0.5749436353723849","0.773089475398634","0.5866953498163439","0.5763609102633802","0.6942121287813965","0.5909058967375396","2.649276703120753","1.2813200604789607","5.267826603758164","1.1991905725538048","0.8676410082955223","1.2175792712655595","1.1111691708154252",
"22000","0.7997521879899867","0.707650968846015","0.7906266446548267","0.5489955833442166","0.6584827563133029","0.5518608670190056","0.5248931164369085","0.6999979480414785","0.5562266686035857","1.1453690026603216","1.0802183060029849","1.0820597040378852","1.1430189793896885","0.9621477220322135","0.8438601609701826","0.898854964416086",
"24000","0.8447176043406591","0.6591237556418097","0.6227470165290278","0.6448924248169813","0.774262815335059","0.6504235907911301","0.6488803252755729","0.6134516245961216","0.8601557150103252","1.0653941226600978","1.4618877423831413","1.3337184639603956","1.4428597636692297","1.1088347520372381","1.3640498533038268","2.0987376679586136",
"26000","0.6758101312682796","0.7056345639857867","0.6490927971798491","0.6888866236439524","0.646969378422128","0.6923516167927206","0.6961832169272452","0.6623671564383173","0.7006050653735789","1.5340303342373118","5.198025722931706","1.1159057393323935","1.1645313628366405","2.633696521729915","1.0086668382461175","1.3818539187630943",
"28000","0.9595675555731881","0.7709125980556104","0.6438179711733322","0.7418425472010153","0.6860534584772078","0.558113743672547","0.7418464196268183","0.6108800006380515","0.643826895179613","1.025607211487467","1.1247394284718595","1.1779502498628571","1.3248947750274904","1.0548120946466861","1.0953638163922599","1.23553160665705",
"30000","0.7004287274114908","0.6512931030795057","0.7127798794608371","0.7188439120916058","0.6350845422100062","0.6977124356915976","0.532117017713279","0.6394616739136767","0.7309507489663974","1.0663886332080512","0.9347207919586736","0.9973420580198159","1.0428867411926726","1.1960482667844234","0.8851223304082984","1.9988505746177032",
"32000","0.7698610327632568","0.6436796332549019","0.7554304027268008","0.7894084854917571","0.7364050819350713","0.6682567458886888","0.5760218802700482","0.6546104143681598","0.8122906775200497","1.0066141506366741","0.9875961547591926","1.0544280169723084","1.2806338203802645","0.8879350271656599","1.372042011680245","0.9550512830075548",
"34000","0.7197265592035502","0.6400319584092028","0.6418516735297838","0.7452270803731293","0.6386075415082754","0.6189852785524355","0.6980582087874202","0.628980287640825","0.7903431812535481","0.92504803946778","1.0146018106838932","1.0369889897656315","1.0172428954297068","0.9988732520336442","0.757640389676359","1.7508351518100034",
"36000","0.7657266218489575","0.6997024031906267","0.693512432763942","0.6948243016130313","0.6426255037452023","0.6489688636895413","0.5907016749856016","0.7233377262699157","0.8358046282570557","1.2252678242011799","1.024682460746026","1.5517168999359006","1.0424872474121452","1.1178579672447169","1.07644867080556","0.8986152326761363",
"38000","0.8372469625504259","0.6136576379699814","0.7653964055113299","0.6018166503732472","0.6869949634910785","0.7102079193518892","0.6135265465541236","0.6759928912116516","0.6576445917650742","0.9169757820626446","1.2109478577389694","0.8873460068867999","1.1003877512506932","1.571231235534264","0.8421869999189734","2.6490847665837",
"40000","0.6162829332661299","0.6970038889011665","0.816502444857983","0.6949855276580382","0.7598288260339717","0.6373827913837044","0.6129456618431245","0.6701284247938964","0.7667426447328589","1.0094582867801964","1.0838317123498467","1.1464895899117116","1.0609546740807985","0.698778019872668","0.8423677659020069","0.8101304862605441",
"42000","0.7454005283846891","0.727337883268708","0.736330958650032","0.6068743416330975","0.6262935479138955","0.8462262239954138","0.5983170882744605","0.7388314259002056","0.8588087257727256","1.0337510314669058","1.0177793221693232","0.8897158925376516","1.8553121787630436","1.2901678883465726","0.985155549381936","0.9804495096753812",
"44000","0.6554831380069462","0.7257444245988076","0.7681949802764396","0.7879806663837993","0.7487958350097909","0.7552668653662337","0.656770366254624","0.6303808874008079","0.7629302888745962","1.7364272360532227","0.8403737831315843","1.0330087865632707","1.0825693208227687","1.4715710658666827","1.0008958928563372","1.0193502727004424",
"46000","0.7837475805623552","0.6245710967290196","0.8799989553674822","0.7228132978076041","0.6927871507154959","0.6415965077157244","0.6270361833096604","0.713508996172088","0.8241472048975356","1.0820597040378859","1.0911226754606183","1.2032394272207905","2.649037051388021","1.2241114008258054","1.0918911904270774","0.9732799041923277",
"48000","0.5943475972528541","0.7732752490181222","1.034395545891671","0.7417379840623386","0.7218946312733624","0.7595754722328848","0.6582602229472945","0.7039266891394652","0.5905654879169026","1.1291163639264172","1.1033104191788723","1.1173747292426706","1.149310023707552","1.725032422079346","0.9526509377784788","1.905778268120218",
"50000","0.6870208307458483","0.7687482410300249","0.7854867095441141","0.755780177766181","0.6081369158952418","0.6871622071095244","0.6965668673910005","0.7279971777664848","0.5647553257781893","0.9894124959004477","1.0348897719025485","1.1489150297021267","1.293263655226761","6.806728171862791","0.8821150576921256","1.4176484366431237",
