"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",
"22000","71.89270167455575","141.68773343745582","185.5649170213756","247.26051343187478","286.127009202913","320.3605215074485","334.5190788801774","368.72156869371025","299.95107681921445","401.730213796488","394.0086831522165","380.2694539882114","329.36008145333255","275.79443484403475","289.11127274474296","322.31958539359914",
"24000","66.42932520123173","131.5723927955589","186.259316334538","232.37475384017426","251.19644573160485","279.96685210133273","305.3100219659975","339.8308099814557","357.891990673377","380.84498851044515","368.4927830638116","352.3586994889198","240.89153544572468","278.90699508246183","243.57866382625193","260.4201650725473",
"26000","60.740028074870175","120.10659584257463","169.9253839481065","211.19876295288688","238.77136791395975","273.5455742237058","292.72781403878497","312.47505375441057","333.2505507960443","353.2804350964713","329.25865215517143","305.3516936224468","280.2764968363909","248.91790878874602","221.8513530291576","247.1075743438088",
"28000","55.71441446637953","111.35477651366915","154.65099044459419","190.44948024870908","217.12734992131766","237.63842786061537","261.2860615956592","285.77966038751805","307.6220486100726","319.8979254632466","307.765252271438","281.81662813773704","254.29533446651322","243.56925981276535","244.68253599538397","208.9316113596684",
"30000","52.38642598367908","103.48808001085264","146.80960736208255","181.05320706142197","206.7583509010793","221.51852163859377","246.96099167554357","268.3222171500321","292.5414661616536","295.1183570225744","292.168115819913","236.69715079630083","175.29848314269938","203.1803417649287","193.4551316375012","197.1361783576468",
"32000","49.02116431223723","97.04963158451363","135.46146300141015","167.80951353501152","191.63322660181223","204.32907664384402","238.64551008885886","254.92460513328578","269.0894815012102","275.3390226287411","269.9039140311874","232.39000334716346","234.00452877698626","205.44216647093205","165.31752354808705","226.27596677807983",
"34000","46.2974728349753","91.3780655516421","124.46608590098938","154.0415680363608","180.88178021800385","196.54640902128196","217.9315592817279","236.87025385705235","250.4866998519626","260.6265535425835","254.73586438877214","248.06800081679108","209.50649369096345","183.7204908121918","188.1695236929661","221.46086458360017",
"36000","43.58389893131019","87.47063231399255","119.44212257011354","100.45824620838648","167.4354168965639","182.4155926305352","205.89434917057528","224.46806916807753","242.30675611708475","251.77996441389485","243.94807035130484","227.185928747584","166.5160053656439","181.5261997616132","166.2517025235013","180.61272927847781",
"38000","40.90037833275404","79.75149383701412","113.9533986277453","144.46577697960706","159.8575082084336","173.75544007619243","195.73393070113588","212.18252687707738","227.15561963637182","239.3447050859905","228.72875967205275","206.85233071821833","197.5261190930885","163.71214915686934","152.39050700102874","164.32004362583947",
"40000","39.41799412961413","77.82045207898304","67.65117983079055","133.16447397323657","150.38136016107674","162.1343760660881","182.60121799578386","150.0914798548314","210.75909838787564","223.5195479401502","221.79813042402373","190.7813084260945","172.75201615627063","154.8306453143774","171.62685106806092","137.96734831914924",
"42000","36.6808741902232","71.68450310507062","101.91189096344563","129.38531383262008","146.77977552282448","155.84875363013882","174.43113265794352","192.59270427012575","202.62141482127896","207.477378206523","208.51552950640678","167.67574686346995","121.31711401806164","144.12497386385468","153.48904258355338","142.22846729003868",
"44000","35.04977539458943","69.32358685922624","97.90473149936544","124.35247778328075","137.52003589796672","145.93057612639032","168.12834893777148","181.15651855877323","191.62697761844888","196.46462694944472","193.3340510804076","162.08861967076183","173.53496165991066","152.44411300742598","133.9826706986861","160.485747889655",
"46000","33.42388126909851","65.60705290260319","92.52208915547833","115.09030471018798","134.05222084417977","145.99010041254482","154.66500036425424","171.79422380002526","184.69546462470748","189.3270546827378","189.04239029955158","183.88796622267333","151.81384633902283","140.58754703784655","150.47849200627252","161.58910981888076",
"48000","31.879621472305182","63.18345192992604","87.38910536011623","109.59509543764474","124.43576805200233","134.74874847140023","151.5218786842636","166.77174376681273","177.37880580336494","124.367771653371","178.25826560739125","164.62010948330496","120.92641928845545","136.63264081284345","126.09637121095535","126.20042305916425",
"50000","30.629920610214594","59.29730517809308","84.00713783755829","109.50610728402947","121.08360894423748","135.972886377416","148.04064378656741","158.5243119421733","168.1332181745994","178.9897097986814","171.83422107066428","163.24046647518014","147.32058269421145","123.97576698717522","107.59360550370585","135.89598604390443",
"52000","11.33142548367591","58.023264447684355","81.067163241823","101.37520458077118","113.19756753296399","123.2126599733677","137.561900867406","154.60159955360646","160.44266934124326","166.1040926420085","166.95245126920338","151.5999001617536","135.40545839229085","130.45613878055164","120.27147676886176","106.66771238542056",
"54000","27.254175861885763","54.91996601334118","76.80243962330589","99.5254805148095","112.32678030790028","120.04948930699013","134.64395381899183","148.0755405081369","157.17525300012628","161.3613467844056","161.4057715805303","123.21746721125801","102.45806175094866","122.77792793948004","110.99098027133347","109.09049681142938",
"56000","27.1233312187252","24.557134360429277","51.14638811408652","93.63382449351215","104.69428123727916","113.02096253614383","130.5563904469904","141.12786697975744","148.94678173710324","154.6204091887127","156.07129896130962","129.76881241440358","131.24030632378094","115.3135070871269","117.5674631035871","123.00162527104258",
"58000","26.170175909947446","50.949096997337655","72.4873721604385","91.19398684301952","100.73460333436043","111.94022040241299","120.17777506101754","134.98994483512385","143.15927426136147","146.32605754311118","148.00931389681026","145.4250163608045","120.62817628093475","116.06116175107283","112.8700849928817","130.35099516930063",
"60000","24.784320727817136","49.7914729383962","70.48021771310492","84.3303858100039","101.40369614610346","107.38929580573641","117.75326152647247","132.07907815507323","139.87001100781853","143.85231966761506","143.73486037600716","140.5432346066542","89.98311653455836","107.56767412509082","91.54898545493944","96.10632039674016",
"62000","24.01026933930574","46.82244146089904","67.62249349563061","85.6607471407136","91.12969886897699","105.5089476545768","119.20457521797634","125.94456733130525","132.38288115160051","144.13571211313496","135.0830815507157","129.00895418796966","126.8040753582591","98.20898598445424","95.66133154835313","104.7065621935406",
"64000","23.995040743993897","45.8520631303407","65.7964477073746","82.4557733139143","89.70145895702953","98.83093810377999","108.58261314826139","123.30035832406026","128.48898854966677","133.73559851143693","129.01447406590037","119.08133198320036","114.82953237318735","104.1412944383431","106.11805687870692","86.46862377096615",
"66000","22.90686369350346","44.78490092475878","62.45084399727431","78.4903441079908","82.52511320336147","97.2510694317593","109.57926442539059","116.49947619039882","125.77376570666783","128.1561901509831","122.38676896816953","106.94037860786503","86.87125428583553","98.48411229503158","90.8608216765489","79.06653392016256",
"68000","21.879670236254217","44.56834751723174","61.7651890537621","75.20934650709644","84.14198427290194","90.91047156690682","106.85382568265818","113.6284810979257","123.49307742683887","124.68372310917898","124.46253912330212","104.38374625237033","115.20233284478323","97.05860635334358","87.3594200255921","105.41494061323732",
"70000","21.586337100881803","42.11741326449238","59.627775553009776","73.06833342776041","83.14580906843548","92.11887389725833","97.72544648047872","111.4949188045638","116.3096964322196","124.27394630694728","120.4527172247756","117.24535154441455","104.79879063487074","90.61007829046396","98.08785982218262","104.75804199515782",
"72000","20.57712105631517","40.499832539552116","56.678510138265054","68.80327635693021","80.72335349334556","88.2000134496442","98.10034806965358","108.38973882471544","114.28196044263004","121.30038150871476","118.46762971037948","113.95320082625271","83.42953662763419","87.3680138589301","90.23003615011557","90.6270636891853",
"74000","20.198582545314622","38.65609888254159","56.49610941025205","70.04054586070343","77.4315499270083","87.41993328606767","96.59107710182639","104.77096049448997","112.96692850681517","114.78028060948816","115.7452272782232","103.89646457635523","103.5795990203645","87.64108744505386","82.47580973058517","84.7790276225595",
"76000","20.477656554592716","38.65436242127302","54.17057976566635","66.44332921604699","68.3876132321849","79.82700965789057","85.72485757943305","100.50961232985759","109.25134173466182","109.94064705354496","114.69480135878364","101.82882503368805","94.841165502454","90.39505329017179","92.472089645819","81.91439578012614",
"78000","19.47485193812721","37.51039867215869","51.465262640720994","65.35550723643112","74.72322654439013","83.7681269999182","88.65895023541711","97.58288413929006","105.55623752597455","106.71782893162546","111.40695659371161","80.85157856269986","73.0242494108576","84.10827088296085","78.49846567775414","68.89915496974847",
"80000","18.981575313083983","36.37399513974447","51.06836475467099","63.35515035645243","72.66121250012347","75.28292478193485","88.26584415343882","96.7830598993362","100.87149441239357","104.84076044144534","105.72187156885454","86.18127796296795","88.84706512386934","82.40106453983422","75.65431454018659","89.40127275205451",
