"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",
"2000","25.057627118644078","33.589830508474556","41.755932203389804","49.961016949152544","58.177966101694906","66.3542372881356","74.73220338983052","82.9677966101695","91.14576271186439","97.45932203389833","97.11186440677967","97.14067796610165","97.40847457627119","97.47966101694918","96.85593220338981","97.2084745762712",
"4000","25.38135593220339","33.35593220338982","41.6533333333333","49.92711864406781","58.19999999999998","66.43833333333333","74.6457627118644","83.04237288135596","91.16333333333337","97.34576271186438","97.12711864406778","96.7118644067797","97.40508474576274","97.3864406779661","96.76949152542373","97.4186440677966",
"6000","25.494915254237284","33.374576271186434","41.70169491525422","49.952542372881354","58.21016949152543","66.52711864406777","74.74576271186439","82.92333333333333","91.23559322033894","97.30338983050846","97.36101694915257","97.18474576271187","97.39152542372882","97.37966101694913","96.9186440677966","97.53220338983049",
"8000","25.79491525423728","33.511864406779665","41.82711864406781","50.016949152542395","58.26271186440678","66.53220338983049","74.77627118644068","83.03559322033901","91.06949152542376","97.12999999999998","97.29661016949156","97.13220338983048","97.19491525423727","97.44745762711864","97.2","97.48983050847457",
"10000","25.86949152542373","33.547457627118646","41.83559322033899","50.10338983050846","58.377966101694916","66.51016949152542","74.76610169491524","82.9728813559322","90.94406779661018","97.04067796610168","97.20338983050846","97.2457627118644","96.49322033898305","97.63220338983052","96.48474576271191","96.95593220338982",
"12000","25.74406779661017","33.554237288135596","41.8322033898305","50.106779661016965","58.39830508474576","66.57457627118646","74.36271186440679","83.00508474576272","91.03898305084746","96.91355932203388","97.11694915254235","97.18644067796612","97.36949152542368","97.37966101694913","97.03898305084745","96.73389830508471",
"14000","25.77966101694915","33.7593220338983","41.96610169491523","50.15762711864408","58.359322033898295","66.51864406779659","74.83050847457629","82.97457627118642","91.06440677966101","96.51525423728812","97.30508474576271","97.19322033898304","97.24067796610171","97.78983050847454","97.51016949152542","97.30508474576268",
"16000","26.079661016949157","33.727118644067794","41.947457627118624","50.09322033898306","58.41186440677965","66.66779661016949","74.85593220338983","83.03728813559317","91.06440677966098","97.41525423728814","97.1372881355932","97.22881355932205","96.8830508474576","97.48644067796612","97.44406779661018","96.82033898305086",
"18000","26.361016949152543","33.7593220338983","42.006779661016935","50.318644067796626","58.43220338983052","66.56779661016947","74.7542372881356","82.9813559322034","91.06949152542376","97.6","97.10338983050846","97.36101694915254","97.28644067796613","97.15084745762714","97.71186440677967","97.20169491525424",
"20000","26.350847457627115","33.73728813559322","42.067796610169495","50.38305084745763","58.4593220338983","66.7949152542373","74.80338983050848","82.91016949152542","91.07118644067793","96.47796610169492","97.16949152542371","96.20169491525427","97.24406779661018","97.535593220339","97.24915254237288","97.05254237288139",
"22000","26.6271186440678","33.85593220338985","42.43898305084746","50.45932203389831","58.55932203389831","66.69491525423727","74.86440677966104","82.99830508474575","91.08983050847456","97.06101694915256","97.35593220338983","96.93898305084745","97.38305084745764","97.56271186440677","97.58983050847458","97.0050847457627",
"24000","26.19661016949153","33.96610169491526","42.12881355932203","50.50677966101696","58.58135593220339","66.69999999999997","74.81186440677968","83.1169491525424","90.86610169491524","97.16779661016949","96.70169491525427","96.88135593220338","97.36779661016949","97.22203389830507","97.30677966101696","95.99322033898304",
"26000","26.54576271186441","33.99322033898304","42.33728813559321","50.50338983050849","58.57966101694916","66.81186440677965","74.92033898305085","83.03050847457627","90.89999999999998","97.18813559322037","96.36779661016948","97.0813559322034","97.37457627118643","96.53050847457628","97.44745762711865","96.71186440677963",
"28000","26.44406779661018","34.14237288135593","42.22033898305083","50.68135593220339","58.48135593220339","66.73728813559323","74.79830508474575","83.09322033898304","91.08474576271186","97.33898305084743","96.89322033898304","97.2542372881356","97.45593220338984","97.36949152542373","97.41864406779658","96.69152542372883",
"30000","26.54406779661018","34.223728813559326","42.364406779661024","50.65084745762712","58.5728813559322","66.72203389830509","74.8084745762712","83.0084745762712","90.9169491525424","97.11016949152543","96.99491525423727","97.42372881355934","97.51355932203388","97.47796610169492","97.38305084745764","96.03220338983054",
"32000","26.40508474576271","34.26949152542373","42.60169491525422","50.82372881355933","58.664406779661014","66.84915254237286","74.88474576271186","83.04067796610168","90.91355932203392","97.38305084745764","97.34406779661019","97.20677966101695","97.27796610169493","97.50677966101696","97.0491525423729","97.235593220339",
"34000","26.740677966101696","34.0322033898305","42.6542372881356","50.8542372881356","58.67796610169491","66.85593220338984","74.80169491525423","83.07796610169488","90.88983050847457","97.14745762711867","97.42033898305085","97.04406779661015","97.36610169491526","97.55254237288139","97.34745762711864","96.39999999999999",
"36000","26.710169491525416","34.55593220338983","42.727118644067815","50.542372881355945","58.769491525423746","66.89491525423728","74.92372881355934","83.00169491525423","90.82033898305087","97.07966101694917","97.39491525423728","96.81186440677969","97.49999999999999","97.42372881355935","97.40847457627119","97.21694915254241",
"38000","26.937288135593217","34.43728813559323","42.75762711864407","50.632203389830494","58.69152542372881","66.90338983050844","74.90508474576275","83.02881355932205","91.00677966101698","97.30169491525423","97.39322033898306","97.42033898305085","97.36101694915253","96.30677966101695","97.4508474576271","96.52203389830505",
"40000","26.905084745762718","34.41694915254237","42.48983050847458","50.793220338983055","58.783050847457616","67.08644067796608","74.84576271186441","82.96440677966103","90.80847457627118","97.32203389830512","97.37627118644069","97.32542372881356","97.37457627118643","97.4135593220339","97.24406779661015","97.34067796610174",
"42000","26.888135593220337","34.566101694915254","42.83220338983052","50.78135593220338","58.840677966101694","66.99830508474578","74.92881355932204","83.05423728813558","90.87966101694921","97.29830508474573","97.32711864406777","97.55762711864406","96.73220338983049","97.35084745762713","97.32203389830512","97.42033898305084",
"44000","27.101694915254228","34.52033898305085","43.10677966101695","50.81016949152542","58.67118644067798","67.064406779661","74.98135593220339","83.04406779661018","90.9881355932203","96.52033898305086","97.34915254237286","97.29661016949153","97.3440677966102","96.9084745762712","97.3915254237288","97.25593220338983",
"46000","27.52203389830508","34.535593220338974","43.08135593220339","50.83050847457627","58.70677966101697","67.14745762711864","74.9067796610169","83.0271186440678","90.81016949152543","97.23898305084744","97.44067796610173","97.40338983050844","96.85423728813561","96.80508474576271","97.27796610169494","97.1864406779661",
"48000","27.21186440677966","34.70338983050846","43.00508474576271","50.66101694915253","58.823728813559335","67.16101694915254","74.93050847457627","83.06440677966101","91.00677966101695","97.4033898305085","97.23898305084745","97.31694915254239","97.41016949152545","96.2949152542373","97.43050847457629","96.54915254237287",
"50000","27.472413793103446","34.649152542372875","43.359322033898316","50.828813559322036","59.00000000000001","67.00338983050848","74.85254237288133","82.96779661016947","90.93728813559323","97.3067796610169","97.2677966101695","97.23898305084748","96.99661016949157","96.42203389830507","97.58135593220338","96.78983050847455",
